Product Code,Normalized Code,Price (INR),Page,Extraction Method,Status
K-73159T-B7-AF,K-73159T-B7-AF,60500,96,layout-aware,FOUND
K-73061T-7-AF,K-73061T-7-AF,60500,96,layout-aware,FOUND
K-73061T-7-BV,K-73061T-7-BV,60500,111,layout-aware,FOUND
K-73159T-B7-BV,K-73159T-B7-BV,60500,111,layout-aware,FOUND
K-24431IN-9FP-BRD,K-24431IN-9FP-BRD,17500,146,layout-aware,FOUND
K-73061T-7-RGD,K-73061T-7-RGD,60500,120,layout-aware,FOUND
K-24431IN-9FP-RGD,K-24431IN-9FP-RGD,16300,127,layout-aware,FOUND
K-73050T-B7-BL,K-73050T-B7-BL,55000,131,layout-aware,FOUND
K-73159IN-7-BRD,K-73159IN-7-BRD,60500,141,layout-aware,FOUND
K-24431IN-9FP-AF,K-24431IN-9FP-AF,14700,106,layout-aware,FOUND
K-24431IN-9FP-BV,K-24431IN-9FP-BV,17500,116,layout-aware,FOUND
K-24431IN-9FP-CP,K-24431IN-9FP-CP,11700,62,layout-aware,FOUND
K-16346IN-CP,K-16346IN-CP,4300,64,layout-aware,FOUND
K-16347IN-CP,K-16347IN-CP,4300,64,layout-aware,FOUND
K-24431IN-9FP-BL,K-24431IN-9FP-BL,16300,138,layout-aware,FOUND
K-705109IN-SHP,K-705109IN-SHP,106100,85,text-search,FOUND
K-38896IN-4FS-BRD,K-38896IN-4FS-BRD,13300,143,text-search,FOUND
K-38892IN-BRD,K-38892IN-BRD,5420,144,text-search,FOUND
K-705087IN-SHP,K-705087IN-SHP,5000,85,text-search,FOUND
K-704613IN-CP,K-704613IN-CP,8900,85,text-search,FOUND
K-28362IN-2-0,K-28362IN-2-0,165000,6,layout-aware,FOUND
K-73050IN-7-BRD,K-73050IN-7-BRD,55000,142,text-search,FOUND
K-38891IN-BRD,K-38891IN-BRD,7000,144,text-search,FOUND
K-30520IN-0,K-30520IN-0,12400,40,layout-aware,FOUND
K-23973IN-AA-CP,K-23973IN-AA-CP,5000,50,text-search,FOUND
K-23974IN-AA-CP,K-23974IN-AA-CP,6000,50,text-search,FOUND
K-702245IN-RH0-AF,K-702245IN-RH0-AF,275000,72,layout-aware,FOUND
K-73050T-B7-AF,K-73050T-B7-AF,55000,97,text-search,FOUND
K-73050T-B7-BV,K-73050T-B7-BV,55000,112,text-search,FOUND
EX28094IN-8-BV,EX28094IN-8-BV,47080,111,layout-aware,FOUND
EX28093IN-8-BV,EX28093IN-8-BV,37664,111,layout-aware,FOUND
EX28094IN-8-RGD,EX28094IN-8-RGD,47080,120,layout-aware,FOUND
EX28093IN-8-RGD,EX28093IN-8-RGD,37664,120,layout-aware,FOUND
EX28094IN-8-BL,EX28094IN-8-BL,47080,131,layout-aware,FOUND
EX28093IN-8-BL,EX28093IN-8-BL,37664,131,layout-aware,FOUND
EX28094IN-8-AF,EX28094IN-8-AF,47080,96,layout-aware,FOUND
EX28093IN-8-AF,EX28093IN-8-AF,37664,96,layout-aware,FOUND
K-38886IN-4ND-BL,K-38886IN-4ND-BL,15400,134,text-search,FOUND
K-38887IN-4ND-BL,K-38887IN-4ND-BL,19250,134,text-search,FOUND
K-38888IN-4ND-BL,K-38888IN-4ND-BL,19250,134,text-search,FOUND
K-38890IN-4FP-BL,K-38890IN-4FP-BL,16630,134,text-search,FOUND
K-38891IN-BL,K-38891IN-BL,7000,134,text-search,FOUND
K-38892IN-BL,K-38892IN-BL,5420,135,text-search,FOUND
K-38893IN-4ND-BL,K-38893IN-4ND-BL,16800,134,text-search,FOUND
K-38894IN-4ND-BL,K-38894IN-4ND-BL,21000,134,text-search,FOUND
K-38895IN-4ND-BL,K-38895IN-4ND-BL,21000,134,text-search,FOUND
K-38897IN-4FP-BL,K-38897IN-4FP-BL,18140,134,text-search,FOUND
K-38886IN-4ND-AF,K-38886IN-4ND-AF,13750,99,text-search,FOUND
K-38887IN-4ND-AF,K-38887IN-4ND-AF,17190,99,text-search,FOUND
K-38888IN-4ND-AF,K-38888IN-4ND-AF,17190,99,text-search,FOUND
K-38889IN-4FS-AF,K-38889IN-4FS-AF,9500,99,text-search,FOUND
K-38890IN-4FP-AF,K-38890IN-4FP-AF,14850,99,text-search,FOUND
K-38891IN-AF,K-38891IN-AF,6250,100,text-search,FOUND
K-38892IN-AF,K-38892IN-AF,4840,100,text-search,FOUND
K-38896IN-4FS-AF,K-38896IN-4FS-AF,16200,99,text-search,FOUND
K-38897IN-4FP-AF,K-38897IN-4FP-AF,16200,99,text-search,FOUND
K-38463IN-4ND-AF,K-38463IN-4ND-AF,12500,99,layout-aware,FOUND
K-38886IN-4ND-RGD,K-38886IN-4ND-RGD,15400,124,text-search,FOUND
K-38887IN-4ND-RGD,K-38887IN-4ND-RGD,19250,124,text-search,FOUND
K-38888IN-4ND-RGD,K-38888IN-4ND-RGD,19250,124,text-search,FOUND
K-38889IN-4FS-RGD,K-38889IN-4FS-RGD,11200,124,text-search,FOUND
K-38892IN-RGD,K-38892IN-RGD,5420,124,text-search,FOUND
K-38896IN-4FS-RGD,K-38896IN-4FS-RGD,12100,124,text-search,FOUND
K-38891IN-BV,K-38891IN-BV,7000,114,text-search,FOUND
K-38897IN-4FP-B,K-38897IN-4FP-B,18140,134,text-search,FOUND
K-9302IN-CL-BL,K-9302IN-CL-BL,87000,136,text-search,FOUND
705110IN-SHP,705110IN-SHP,54000,85,text-search,FOUND
EXE28094IN-8-BV,EXE28094IN-8-BV,N/A,N/A,N/A,NOT FOUND
